,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
702,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
703,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
704,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
705,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
706,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
707,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
708,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
709,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
710,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
711,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
712,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
713,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
714,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
715,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
716,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
717,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
718,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
719,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
720,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
721,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
722,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
723,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
724,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
725,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
726,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
727,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
728,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
729,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
730,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
731,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
732,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
733,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
734,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
735,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
736,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
737,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
738,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
739,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
740,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
741,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
742,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
743,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
744,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
745,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
746,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
747,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
748,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
749,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
750,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
751,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
752,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
753,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
754,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
755,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
756,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
757,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
758,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
759,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
760,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
761,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
762,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
763,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
764,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
765,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
766,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
767,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
768,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
769,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
770,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
771,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
772,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
773,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
774,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
775,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
776,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
777,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
778,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
779,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
780,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
781,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
782,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
783,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
784,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
785,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
786,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
787,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
788,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
789,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
790,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
791,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
792,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
793,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
794,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
795,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
796,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
797,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
798,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
799,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
800,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
801,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
802,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
803,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
804,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
805,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
806,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
807,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
808,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
809,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
810,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
811,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
812,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
813,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
814,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
815,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
816,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
817,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
818,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
819,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
820,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
821,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
822,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
823,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
824,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
825,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
826,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
827,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
828,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
829,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
830,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
831,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
832,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
833,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
834,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
835,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
836,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
837,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
838,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
839,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
840,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
841,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
842,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
843,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
844,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
845,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
846,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
847,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
848,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
849,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
850,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
851,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
852,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
853,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
854,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
855,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
856,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
857,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
858,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
859,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
860,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
861,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
862,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
863,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
864,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
